OperatorTerminal,Description,IPAddress,WorkplaceID,BehaviorDescription,OrderStatus,BoPExecution,QG,Kitting,WorkplaceNId,LayoutEnum,Layout,Workplace,OrderType,OrderStatusFilter,ShowToBeActivated,SortingParam,FilterByLine,GridListView,EnableESOnWorkplaceEnter,AutoassignSerialNumber,ClientDef_NId,ShowReworkCompleted,DisplayRejectionReasons,AllowCellManagement,IsMultyOrderSelection,CanChangeWorkplace,DisplayDCOButton,DisplayUndoOperationOT,AutoExitWorkplace,AutoassignWhiteListCheck,ProductionLine,SearchDryingTask,FastDefectOpening,AutoassignChangeWorkplace,SetOrderLocChangeWorkplace,DisplayFixDefectButtons,UseNewDefectUI,UseNewSilhouetteUI,UseMaterialCallFromLineSideUI,CheckLoadingSequence,CheckProcessingSequence,DisplayOrderMeasurement,Id,NodeID
3201_G2FC02LH,3201_G2FC02LH,10.98.96.250,9f2939ed-76aa-f011-848d-000c29e9263e,BoP Execution,0,2,0,0,3201_G2FC02LH,1,OneColumn,FC,,,false,,false,false,false,false,3201_G2FC02LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,2bb55c85-c3ba-f011-848f-000c29eabf5a,9b2939ed-76aa-f011-848d-000c29e9263e
3201_GAC215LH,3201_GAC215LH,10.98.96.45,75eb942f-f098-f011-bb24-06f36d7313c7,BoP Execution,0,2,0,0,3201_GAC215LH,1,OneColumn,3201_EB25_2025_VF6NP_RHD_INDO,,,false,,false,false,false,false,3201_GAC215LH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,7052b3a2-7abb-f011-848f-000c29eabf5a,71eb942f-f098-f011-bb24-06f36d7313c7
3201_GAC210RH,3201_GAC210RH,10.98.96.79,7cb67336-f098-f011-bb23-068adba823c5,BoP Execution +  QG,0,2,4,0,3201_GAC210RH,1,OneColumn,C2,,,false,,false,false,false,false,3201_GAC210RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,e31ee1fc-7abb-f011-848c-000c2946f184,78b67336-f098-f011-bb23-068adba823c5
3201_GAIP01LH,3201_GAIP0001,10.98.96.25,0f42c621-3495-f011-bb23-06f9abf5195b,BoP Execution,0,2,0,0,3201_GAIP01LH,1,OneColumn,IP,,,false,,false,false,false,false,3201_GAIP01LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,396328ca-fab9-f011-8494-000c2997d9e5,0b42c621-3495-f011-bb23-06f9abf5195b
3201_GACA04LH,3201_GACA04LH,10.98.96.104,7f6b8a13-bda8-f011-848c-000c29eabf5a,Order Status + BoP Execution + QG,1,2,4,0,3201_GACA04LH,1,OneColumn,CA,,,false,,false,false,false,false,3201_GACA04LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,6a3d6b86-10ba-f011-848c-000c2946f184,7b6b8a13-bda8-f011-848c-000c29eabf5a
3201_G2FX02LH,3201_G2FX02LH,10.98.96.12,743448d1-76aa-f011-848c-000c29eabf5a,BoP Execution +  QG,0,2,4,0,3201_G2FX02LH,1,OneColumn,FX,,,false,,false,false,false,false,3201_G2FX02LH,false,false,false,false,false,false,false,false,false,,false,true,false,false,false,true,false,false,false,false,false,69a51438-19ba-f011-8494-000c2997d9e5,703448d1-76aa-f011-848c-000c29eabf5a
3201_G2FC03LH,3201_G2FC03LH,10.98.96.94,4016ebfd-76aa-f011-8489-000c2946f184,BoP Execution,0,2,0,0,3201_G2FC03LH,1,OneColumn,FC,,,false,,false,false,false,false,3201_G2FC03LH,false,false,false,false,false,false,false,true,false,,false,false,false,false,false,false,false,false,false,false,false,009b0984-c4ba-f011-8494-000c2997d9e5,3c16ebfd-76aa-f011-8489-000c2946f184
3201_GAC101LH,3201_GAC101LH,10.98.96.29,bb4ecf28-f098-f011-bb23-068adba823c5,BoP Execution +  QG,0,2,4,0,3201_GAC101LH,1,OneColumn,C1,,,false,,false,false,false,false,3201_GAC101LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,7ed56a66-a3bb-f011-848c-000c2946f184,b74ecf28-f098-f011-bb23-068adba823c5
3201_GAC107RH,3201_GAC108LH,10.98.96.89,af86a616-f098-f011-bb24-06f36d7313c7,BoP Execution +  QG,0,2,4,0,3201_GAC108LH,1,OneColumn,C1,,,false,,false,false,false,false,3201_GAC107RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,8736f01c-a7bb-f011-8491-000c29e9263e,ab86a616-f098-f011-bb24-06f36d7313c7
3201_GAFL15QC,3201_GAFL15QC,10.98.96.27,8f6fdeae-51b9-f011-848c-000c2946f184,Order Status + BoP Execution + QG,1,2,4,0,3201_GAFL15QC,1,OneColumn,FL,,,false,,false,false,false,false,3201_GAFL15QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,6237cfa3-a8bb-f011-848c-000c2946f184,8b6fdeae-51b9-f011-848c-000c2946f184
